customer_id,total_spent,orders,segment
12485,708.1000000000001,1,Low Value
12486,1037.2800000000002,1,Low Value
12487,285.29999999999995,1,Low Value
12488,1298.66,3,Low Value
12489,334.92999999999995,1,Low Value
12490,9823.640000000005,21,Medium Value
12491,460.4000000000001,1,Low Value
12492,715.2099999999999,3,Low Value
12493,433.74,2,Low Value
12494,1815.270000000001,9,Low Value
12495,357.4000000000001,1,Low Value
12496,45.339999999999996,2,Low Value
12497,6248.5,3,Medium Value
12498,403.7,3,Low Value
12499,393.72,1,Low Value
12500,5955.210000000002,19,Medium Value
12501,2169.39,1,Low Value
12502,3723.87,5,Low Value
12503,1126,1,Low Value
12504,779.0500000000001,4,Low Value
12505,955.1999999999999,1,Low Value
12506,73.50000000000001,1,Low Value
12507,1844.0600000000006,4,Low Value
12508,397.8800000000001,2,Low Value
12509,176.5,1,Low Value
12510,5178.019999999999,9,Medium Value
12511,3084.0200000000004,1,Low Value
12512,132.18,2,Low Value
12513,612.2900000000001,1,Low Value
12514,1597.76,2,Low Value
12515,383.7,1,Low Value
12516,2648.62,4,Low Value
12517,2481.599999999998,5,Low Value
12518,2056.889999999999,5,Low Value
12519,716.5400000000001,2,Low Value
12520,2634.26,5,Low Value
12521,599.6800000000001,1,Low Value
12522,192.72,2,Low Value
12523,4352.3499999999985,23,Low Value
12524,11126.109999999993,17,High Value
12525,973.73,3,Low Value
12526,1316.6600000000005,3,Low Value
12527,735.5100000000001,5,Low Value
12528,1933.4800000000007,6,Low Value
12529,316.4800000000001,1,Low Value
12530,3759.2600000000007,9,Low Value
12531,1933.2,2,Low Value
12532,349.83,1,Low Value
12533,1367.8899999999996,2,Low Value
12534,1089.1799999999998,1,Low Value
12535,716.35,2,Low Value
12536,12601.830000000005,3,High Value
12537,732.94,1,Low Value
12538,640.4499999999999,2,Low Value
12539,11214.750000000015,7,High Value
12540,22254.49000000003,33,High Value
12541,981.1800000000002,3,Low Value
12542,481.8799999999999,2,Low Value
12543,980.2500000000001,1,Low Value
12544,372.70000000000005,1,Low Value
12545,1000.3899999999999,2,Low Value
12546,1161.5000000000005,2,Low Value
12547,383.5799999999999,3,Low Value
12548,95.19999999999999,1,Low Value
12549,1575.6799999999998,6,Low Value
12550,964.8299999999998,1,Low Value
12551,168,1,Low Value
12552,437.81999999999994,2,Low Value
12553,4608.750000000003,12,Low Value
12554,468.4999999999999,1,Low Value
12555,129.23,1,Low Value
12556,599.56,2,Low Value
12557,18096.14,8,High Value
12558,269.96000000000004,1,Low Value
12559,561.7099999999999,2,Low Value
12560,2134.01,3,Low Value
12561,238.85,1,Low Value
12562,4966.920000000004,9,Low Value
12563,249.24,1,Low Value
12564,456.90000000000003,1,Low Value
12565,145.92000000000002,1,Low Value
12566,351.65,1,Low Value
12567,11767.48,15,High Value
12568,70,1,Low Value
12569,4124.689999999999,32,Low Value
12570,77.52,1,Low Value
12571,519.6099999999999,2,Low Value
12572,1020.4200000000003,2,Low Value
12573,717.4100000000002,5,Low Value
12574,218.45,1,Low Value
12575,622.8199999999998,2,Low Value
12576,2142.7200000000007,8,Low Value
12577,1617.100000000001,8,Low Value
12578,4642.449999999998,4,Low Value
12579,440.41999999999996,1,Low Value
12580,1052.8999999999999,2,Low Value
12581,197.70999999999998,1,Low Value
12582,1980.3999999999996,4,Low Value
12583,13591.580000000009,27,High Value
12584,2338.1499999999996,9,Low Value
12585,2040.1000000000001,2,Low Value
12586,2062.670000000001,4,Low Value
12587,144,1,Low Value
12588,958.7799999999999,4,Low Value
12589,4695.659999999999,8,Low Value
12590,9864.26,2,Medium Value
12591,1338.9500000000003,3,Low Value
12592,2582.6600000000008,5,Low Value
12593,418.09999999999997,3,Low Value
12594,5090.110000000003,15,Medium Value
12595,299.02,1,Low Value
12596,618.27,2,Low Value
12597,3811.2200000000016,4,Low Value
12598,4534.090000000001,11,Low Value
12599,2296.7200000000003,13,Low Value
12600,4967.420000000002,21,Low Value
12601,681.2600000000001,6,Low Value
12602,153.12000000000003,1,Low Value
12603,739.1999999999999,1,Low Value
12604,254.17999999999995,2,Low Value
12605,1232.9499999999994,4,Low Value
12606,21,1,Low Value
12607,1579.5100000000004,1,Low Value
12608,415.79,1,Low Value
12609,3435.8599999999997,9,Low Value
12610,2099.540000000001,5,Low Value
12611,1193.3200000000004,1,Low Value
12612,704.04,1,Low Value
12613,6817.370000000007,10,Medium Value
12614,315.5999999999999,1,Low Value
12615,5740.979999999999,8,Medium Value
12616,1131.1,3,Low Value
12617,352.9800000000001,1,Low Value
12618,177.31,1,Low Value
12619,3781.3800000000006,10,Low Value
12620,1339.4099999999999,3,Low Value
12621,24311.200000000008,35,High Value
12622,180.10000000000002,1,Low Value
12623,3747.840000000001,7,Low Value
12624,641.13,2,Low Value
12625,5164.879999999997,4,Medium Value
12626,6620.479999999999,9,Medium Value
12627,4478.53,7,Low Value
12628,786.4599999999999,3,Low Value
12629,1558.2199999999998,2,Low Value
12630,1270.8799999999999,2,Low Value
12631,3481.5699999999997,6,Low Value
12632,804.8800000000002,2,Low Value
12633,5678.160000000003,7,Medium Value
12634,490,2,Low Value
12635,2930.4100000000017,4,Low Value
12636,141,1,Low Value
12637,8283.810000000003,12,Medium Value
12638,921.4900000000005,2,Low Value
12639,1312.3700000000003,3,Low Value
12640,1174.5800000000002,3,Low Value
12641,185.89999999999998,1,Low Value
12642,1013.2599999999999,3,Low Value
12643,8304.819999999998,12,Medium Value
12644,1918.490000000001,4,Low Value
12645,3539.3000000000015,8,Low Value
12646,1346.9699999999998,2,Low Value
12647,16955.55,36,High Value
12648,1112,4,Low Value
12649,2294.65,8,Low Value
12650,314.44,1,Low Value
12651,377.75,4,Low Value
12652,1017.0300000000002,2,Low Value
12653,4160.83,3,Low Value
12654,601.98,5,Low Value
12655,261.35,1,Low Value
12656,6407.830000000001,8,Medium Value
12657,1643.1799999999998,4,Low Value
12658,686.0500000000001,1,Low Value
12659,91.68,1,Low Value
12660,245.10000000000002,1,Low Value
12661,162,1,Low Value
12662,6726.540000000007,20,Medium Value
12663,239.4,2,Low Value
12664,6070.04,11,Medium Value
12665,313.59999999999997,3,Low Value
12666,1248.42,1,Low Value
12667,620.1299999999998,1,Low Value
12668,11383.029999999988,10,High Value
12669,2744.0300000000007,3,Low Value
12670,3760.2900000000004,7,Low Value
12671,2622.481,1,Low Value
12672,437.04999999999995,2,Low Value
12673,1230.0200000000002,3,Low Value
12674,1970.6000000000004,4,Low Value
12675,957.2500000000002,2,Low Value
12676,2843.09,11,Low Value
12677,395.1,2,Low Value
12678,34281.17999999999,21,High Value
12679,1113.02,4,Low Value
12680,880.81,4,Low Value
12681,29834.75999999999,45,High Value
12682,22950.21999999997,52,High Value
12683,11633.699999999993,21,High Value
12684,2283.629999999999,7,Low Value
12685,2863.0800000000004,6,Low Value
12686,89.14,1,Low Value
12687,2138.9100000000003,2,Low Value
12688,4873.810000000002,1,Low Value
12689,1247.6099999999997,2,Low Value
12690,389.01000000000005,1,Low Value
12691,1170.4,7,Low Value
12692,110.95,1,Low Value
12693,1703.0200000000002,7,Low Value
12694,1843.3500000000008,3,Low Value
12695,1407.12,7,Low Value
12696,851.9100000000001,2,Low Value
12697,957.59,3,Low Value
12698,339.75000000000006,1,Low Value
12699,638.1100000000001,1,Low Value
12700,4939.990000000006,4,Low Value
12701,2446.4099999999994,6,Low Value
12702,219.00000000000003,1,Low Value
12703,1006.5300000000001,4,Low Value
12704,2340.8399999999992,8,Low Value
12705,11762.099999999984,14,High Value
12707,603.4200000000001,1,Low Value
12708,5117.659999999999,18,Medium Value
12709,30291.76000000004,34,High Value
12710,1149.020000000001,3,Low Value
12711,1339.0499999999995,2,Low Value
12712,6723.029999999997,21,Medium Value
12713,848.5499999999998,1,Low Value
12714,14093.710000000015,12,High Value
12715,343.36000000000007,1,Low Value
12716,1053.4899999999993,2,Low Value
12717,1308.9100000000005,3,Low Value
12718,238.24999999999997,1,Low Value
12719,644.9500000000002,2,Low Value
12720,7787.279999999994,30,Medium Value
12721,4013.08,8,Low Value
12722,997.6299999999999,4,Low Value
12723,725.0699999999999,5,Low Value
12724,2317.52,7,Low Value
12725,2266.76,4,Low Value
12726,4014.5999999999985,11,Low Value
12727,5679.53,10,Medium Value
12728,1070.1699999999998,5,Low Value
12729,453.01,1,Low Value
12730,829.25,1,Low Value
12731,25775.71000000004,17,High Value
12732,236.26000000000002,1,Low Value
12733,2424.8700000000003,4,Low Value
12734,639.6499999999999,3,Low Value
12735,779.5699999999998,2,Low Value
12736,234,1,Low Value
12737,3710.5,2,Low Value
12738,155.35000000000002,1,Low Value
12739,2726.7300000000014,4,Low Value
12740,427.6,1,Low Value
12741,406.07,2,Low Value
12742,1201.52,1,Low Value
12743,540.1299999999998,2,Low Value
12744,25317.059999999976,11,High Value
12745,925.4100000000002,3,Low Value
12746,254.54999999999998,1,Low Value
12747,8898.480000000003,26,Medium Value
12748,53539.63999999977,337,High Value
12749,6897.3600000000015,9,Medium Value
12750,275.88,1,Low Value
12751,268.27000000000004,1,Low Value
12752,4366.78,1,Low Value
12753,21429.389999999992,6,High Value
12754,3010.7400000000002,3,Low Value
12755,5236.259999999998,11,Medium Value
12756,112.07999999999998,1,Low Value
12757,7834.65,13,Medium Value
12758,9903.239999999996,7,Medium Value
12759,5020.7399999999925,8,Medium Value
12760,347.8,1,Low Value
12761,782.9499999999999,2,Low Value
12762,1898.5200000000004,2,Low Value
12763,494.08,2,Low Value
12764,1693.8799999999997,1,Low Value
12765,1404.5800000000002,6,Low Value
12766,8918.989999999998,9,Medium Value
12767,949.8200000000003,1,Low Value
12768,168.69,1,Low Value
12769,1143.6000000000001,1,Low Value
12770,3246.45,2,Low Value
12771,282.3,1,Low Value
12772,892.4700000000003,1,Low Value
12773,124.25,1,Low Value
12774,98.7,1,Low Value
12775,1686.1200000000006,7,Low Value
12776,55.5,1,Low Value
12777,519.4499999999999,1,Low Value
12778,1775.680000000001,9,Low Value
12779,6474.109999999998,14,Medium Value
12780,337.3999999999999,1,Low Value
12781,826.7400000000001,2,Low Value
12782,4618.239999999999,11,Low Value
12783,2225.9100000000003,6,Low Value
12784,1763.150000000001,3,Low Value
12785,1100.4,3,Low Value
12786,728.5,1,Low Value
12787,862.1800000000001,4,Low Value
12788,444.90000000000003,4,Low Value
12789,273.34999999999997,3,Low Value
12790,591.8500000000001,2,Low Value
12791,863.5100000000001,6,Low Value
12792,827.0099999999999,2,Low Value
12793,885.5299999999999,3,Low Value
12794,860.4099999999999,2,Low Value
12795,430.48,1,Low Value
12796,381,1,Low Value
12797,552.08,2,Low Value
12798,8510.93,4,Medium Value
12799,219.34999999999997,1,Low Value
12800,584.25,3,Low Value
12801,1071.8200000000002,1,Low Value
12802,2416.4200000000005,7,Low Value
12803,1092.81,1,Low Value
12804,325.36999999999995,2,Low Value
12805,1434.95,4,Low Value
12806,2878.959999999999,4,Low Value
12807,330.3499999999999,1,Low Value
12808,776.6999999999998,5,Low Value
12809,1755.94,3,Low Value
12810,534.99,2,Low Value
12811,1033.9,5,Low Value
12812,229.64,1,Low Value
12813,1687.8000000000009,3,Low Value
12814,125.92,1,Low Value
12815,1063.4600000000003,2,Low Value
12816,572.2,2,Low Value
12817,690.98,3,Low Value
12818,1542.0800000000002,1,Low Value
12819,540.5200000000001,1,Low Value
12820,2689.520000000002,11,Low Value
12821,220.79999999999998,2,Low Value
12822,948.8800000000002,2,Low Value
12823,6501.5,18,Medium Value
12824,397.11999999999995,1,Low Value
12825,518.63,2,Low Value
12826,2800.750000000003,12,Low Value
12827,430.15,3,Low Value
12828,1018.7100000000002,6,Low Value
12829,385.30000000000007,3,Low Value
12830,6814.640000000003,6,Medium Value
12831,451.10999999999996,3,Low Value
12832,383.03,2,Low Value
12833,417.38000000000005,1,Low Value
12834,312.38,1,Low Value
12835,5996.829999999982,41,Medium Value
12836,6559.729999999992,15,Medium Value
12837,662.6599999999999,2,Low Value
12838,2975.91,10,Low Value
12839,9669.119999999988,26,Medium Value
12840,4041.9700000000016,7,Low Value
12841,6958.199999999989,40,Medium Value
12842,1917.99,4,Low Value
12843,6583.359999999996,30,Medium Value
12844,648.6000000000003,4,Low Value
12845,354.09000000000003,4,Low Value
12846,15.58,1,Low Value
12847,1608.9999999999998,2,Low Value
12848,208.00000000000003,1,Low Value
12849,3042.4700000000007,6,Low Value
12850,330,1,Low Value
12851,280.7599999999999,2,Low Value
12852,311.55,1,Low Value
12853,3907.500000000001,11,Low Value
12854,2970.969999999999,7,Low Value
12855,612.8400000000004,4,Low Value
12856,2170.780000000002,6,Low Value
12857,3688.0000000000005,6,Low Value
12858,147.27,1,Low Value
12859,575.0999999999999,1,Low Value
12860,54.22,1,Low Value
12861,68.25,1,Low Value
12862,984.6200000000001,2,Low Value
12863,2792.55,6,Low Value
12864,299.56999999999994,2,Low Value
12865,3323.470000000002,4,Low Value
12866,1227.35,3,Low Value
12867,7829.25999999999,13,Medium Value
12868,2043.7600000000007,8,Low Value
12869,337.6700000000001,1,Low Value
12870,1676.9500000000007,3,Low Value
12871,744.0199999999998,3,Low Value
12872,3283.9599999999973,12,Low Value
12873,2027.3000000000006,3,Low Value
12874,948.4199999999997,2,Low Value
12875,1356.99,5,Low Value
12876,4081.790000000001,4,Low Value
12877,2942.1399999999976,20,Low Value
12878,854.9899999999998,2,Low Value
12879,573.2199999999999,3,Low Value
12880,640.1299999999999,2,Low Value
12881,298,1,Low Value
12882,1463.04,2,Low Value
12883,703.47,4,Low Value
12884,309.05,1,Low Value
12885,1175.2199999999998,3,Low Value
12886,1378.4000000000005,2,Low Value
12887,222.39999999999998,1,Low Value
12888,354.12,2,Low Value
12889,385.46,4,Low Value
12890,706.0199999999998,2,Low Value
12891,840.5,11,Low Value
12892,263.38000000000005,1,Low Value
12893,176.54999999999998,1,Low Value
12894,157.34999999999997,1,Low Value
12895,372.8,2,Low Value
12897,514.25,4,Low Value
12898,296.21000000000004,2,Low Value
12899,366.4,1,Low Value
12900,340.33,1,Low Value
12901,17654.539999999997,28,High Value
12902,138.68,1,Low Value
12903,833.5300000000001,1,Low Value
12904,496.0599999999998,2,Low Value
12905,1018.4200000000003,2,Low Value
12906,2919.8099999999995,5,Low Value
12907,508.9099999999999,2,Low Value
12908,1776,5,Low Value
12909,3103.190000000001,8,Low Value
12910,5796.519999999998,13,Medium Value
12911,1651.7200000000005,1,Low Value
12912,1662.3000000000002,5,Low Value
12913,6283.239999999999,13,Medium Value
12914,223.98,1,Low Value
12915,975.1000000000003,4,Low Value
12916,4479.73,7,Low Value
12917,4359.200000000001,6,Low Value
12918,10953.5,1,High Value
12919,1335.1899999999998,6,Low Value
12920,486.6399999999999,4,Low Value
12921,35233.240000000056,74,High Value
12922,405.38,1,Low Value
12923,770.4199999999997,3,Low Value
12924,2469.3999999999996,12,Low Value
12925,729.3299999999997,3,Low Value
12926,1523.9700000000007,4,Low Value
12927,197.31,1,Low Value
12928,4304.890000000002,12,Low Value
12929,117.85,1,Low Value
12930,415.8,2,Low Value
12931,92347.34000000003,57,High Value
12932,1698.5600000000004,8,Low Value
12933,1636.6300000000015,8,Low Value
12934,181.65,1,Low Value
12935,4243.8600000000015,15,Low Value
12936,1063.9000000000005,4,Low Value
12937,3097.609999999999,9,Low Value
12938,114.14,1,Low Value
12939,25264.80000000001,20,High Value
12940,899.6900000000002,2,Low Value
12941,377.49,1,Low Value
12942,675.5999999999999,3,Low Value
12943,496.4999999999999,2,Low Value
12944,604.5099999999999,2,Low Value
12945,900.1100000000001,2,Low Value
12946,324.44999999999993,1,Low Value
12947,1603.9900000000005,6,Low Value
12948,2317.43,9,Low Value
12949,15526.700000000015,22,High Value
12950,1843,3,Low Value
12951,3213.72,15,Low Value
12952,1387.79,4,Low Value
12953,828.81,2,Low Value
12954,162.44999999999996,1,Low Value
12955,4757.159999999999,11,Low Value
12956,521.8899999999999,4,Low Value
12957,8706.969999999996,13,Medium Value
12958,467.33999999999986,2,Low Value
12959,150.95000000000002,1,Low Value
12960,1322.0700000000006,4,Low Value
12961,211.99000000000004,1,Low Value
12962,266.39,2,Low Value
12963,3235.7900000000004,12,Low Value
12964,132.24,1,Low Value
12965,769.8100000000002,1,Low Value
12966,160.18,1,Low Value
12967,2938.5200000000004,3,Low Value
12968,135.95,1,Low Value
12969,122.45,1,Low Value
12970,1453.5999999999997,10,Low Value
12971,15704.599999999999,116,High Value
12972,1161.2,4,Low Value
12973,385.55,1,Low Value
12974,408.94999999999993,2,Low Value
12975,2100.090000000001,6,Low Value
12976,3156.3799999999983,8,Low Value
12977,513.8799999999999,4,Low Value
12978,2502.819999999998,5,Low Value
12979,517.6999999999998,1,Low Value
12980,16245.779999999997,21,High Value
12981,372.21999999999997,2,Low Value
12982,2744.81,8,Low Value
12983,490.07999999999987,1,Low Value
12984,97.5,1,Low Value
12985,1239.38,2,Low Value
12986,2729.8400000000015,10,Low Value
12987,1312.2100000000003,5,Low Value
12988,505.8199999999998,1,Low Value
12989,13551.750000000004,33,High Value
12990,955.4999999999999,7,Low Value
12991,764.8199999999997,3,Low Value
12992,93.35000000000001,1,Low Value
12993,1259.6299999999999,8,Low Value
12994,974.4200000000002,3,Low Value
12995,211.32,1,Low Value
12996,355.5000000000001,1,Low Value
12997,2110.9100000000003,8,Low Value
12998,920.0799999999998,3,Low Value
12999,455.8799999999999,3,Low Value
13000,1032.5,4,Low Value
13001,24042.649999999958,33,High Value
13002,414.13,3,Low Value
13003,149.05,3,Low Value
13004,11650.849999999984,36,High Value
13005,999.6799999999998,4,Low Value
13006,81.57,1,Low Value
13007,175.25,1,Low Value
13008,612.13,3,Low Value
13009,234,1,Low Value
13010,330.12,2,Low Value
13011,50.550000000000004,1,Low Value
13012,2957.83,11,Low Value
13013,11097.43,29,High Value
13014,5381.080000000003,11,Medium Value
13015,6579.779999999999,11,Medium Value
13016,789.8899999999998,3,Low Value
13017,204,1,Low Value
13018,9763.159999999996,35,Medium Value
13019,1229.95,6,Low Value
13020,618.9600000000002,2,Low Value
13021,4887.239999999998,17,Low Value
13022,65.3,1,Low Value
13023,1449.0299999999995,3,Low Value
13024,555.87,2,Low Value
13025,323.39,1,Low Value
13026,1733.0799999999997,9,Low Value
13027,17239.199999999997,19,High Value
13028,661.32,2,Low Value
13029,1927.2999999999997,5,Low Value
13030,752.44,2,Low Value
13031,3292.839999999998,5,Low Value
13032,2815.9600000000005,9,Low Value
13033,220.55,2,Low Value
13034,756.8199999999999,3,Low Value
13035,1364.2000000000003,3,Low Value
13036,307.1,1,Low Value
13037,3914.949999999999,12,Low Value
13038,908.46,3,Low Value
13039,1010.73,4,Low Value
13040,676.99,2,Low Value
13041,799.13,4,Low Value
13042,1488.5900000000001,3,Low Value
13043,516.42,1,Low Value
13044,4848.050000000001,11,Low Value
13045,808.9200000000001,3,Low Value
13046,949.2500000000001,3,Low Value
13047,8428.530000000004,24,Medium Value
13048,4049.13,9,Low Value
13049,1408.2400000000002,4,Low Value
13050,11986.519999999982,35,High Value
13051,155.8,2,Low Value
13052,3119.3300000000013,7,Low Value
13053,127.65,1,Low Value
13055,2321.1099999999997,4,Low Value
13056,209.47999999999996,1,Low Value
13057,709.5899999999999,3,Low Value
13058,271.4,3,Low Value
13059,2291.7700000000004,10,Low Value
13060,307.53000000000003,1,Low Value
13061,248.61,1,Low Value
13062,346.98,1,Low Value
13063,188.39999999999998,1,Low Value
13064,1666.8400000000001,6,Low Value
13065,1055.0500000000004,5,Low Value
13066,470.80000000000007,2,Low Value
13067,508.50999999999993,3,Low Value
13068,344,2,Low Value
13069,9284.449999999992,38,Medium Value
13070,751.6999999999997,4,Low Value
13071,129.22000000000003,1,Low Value
13072,177.15,1,Low Value
13073,418.08,2,Low Value
13074,1378.74,4,Low Value
13075,919.6099999999999,1,Low Value
13076,135.4,1,Low Value
13077,2740.649999999998,11,Low Value
13078,29018.060000000012,57,High Value
13079,419.17999999999995,6,Low Value
13080,280.72999999999996,4,Low Value
13081,56838.37000000003,28,High Value
13082,7335.749999999998,21,Medium Value
13083,395.43000000000006,3,Low Value
13084,122.39999999999999,1,Low Value
13085,2433.28,8,Low Value
13086,439.32999999999987,1,Low Value
13087,313.64000000000004,1,Low Value
13088,236.10999999999996,1,Low Value
13089,113416.90999999936,203,High Value
13090,13091.739999999996,24,High Value
13091,2321.8200000000006,3,Low Value
13092,2140.2800000000007,12,Low Value
13093,54144.25000000008,55,High Value
13094,2209.4400000000005,13,Low Value
13095,74.4,1,Low Value
13096,419.70000000000005,1,Low Value
13097,13324.100000000017,28,High Value
13098,28882.44000000001,28,High Value
13099,207.35999999999999,1,Low Value
13101,695.4,4,Low Value
13102,11380.099999999966,37,High Value
13103,709.64,3,Low Value
13104,1709.1000000000001,9,Low Value
13105,72,1,Low Value
13106,603.46,2,Low Value
13107,5253.069999999999,9,Medium Value
13108,748.4599999999997,2,Low Value
13109,1134.0300000000002,3,Low Value
13110,2957.469999999998,12,Low Value
13111,321.87999999999994,1,Low Value
13112,20.6,1,Low Value
13113,18230.069999999996,37,High Value
13114,234.38,1,Low Value
13115,5494.699999999994,10,Medium Value
13116,501.14,1,Low Value
13117,2255.66,18,Low Value
13118,2415.410000000004,9,Low Value
13119,134.9,1,Low Value
13120,30.599999999999998,1,Low Value
13121,283.72999999999996,1,Low Value
13122,922.3900000000003,2,Low Value
13123,506.75,2,Low Value
13124,4641.659999999996,4,Low Value
13125,148.62,1,Low Value
13126,3774.8099999999986,13,Low Value
13127,259.17,1,Low Value
13128,263.5,1,Low Value
13129,233.25,2,Low Value
13130,64,1,Low Value
13131,3313.77,7,Low Value
13132,77.3,1,Low Value
13133,200.45,3,Low Value
13134,2475.23,6,Low Value
13135,3371.45,2,Low Value
13136,6274.559999999998,13,Medium Value
13137,7586.939999999966,16,Medium Value
13138,1274.0100000000002,7,Low Value
13139,8202.979999999998,8,Medium Value
13140,1054.92,5,Low Value
13141,7656.079999999994,17,Medium Value
13142,307.09000000000003,1,Low Value
13143,405.1,1,Low Value
13144,135.35,2,Low Value
13145,1128.52,7,Low Value
13146,228.91000000000003,1,Low Value
13147,712.8000000000001,4,Low Value
13148,8497.819999999985,26,Medium Value
13149,1676.06,4,Low Value
13150,449.96999999999997,3,Low Value
13151,2465.2100000000023,3,Low Value
13152,2146.380000000001,7,Low Value
13153,486.22,1,Low Value
13154,1624.840000000001,3,Low Value
13155,1370.4800000000002,6,Low Value
13156,1586.540000000001,3,Low Value
13157,5687.359999999999,9,Medium Value
13158,1508.1800000000005,5,Low Value
13159,1429.3500000000006,4,Low Value
13160,91.8,1,Low Value
13161,472.12999999999994,2,Low Value
13162,9275.49,16,Medium Value
13163,17.65,1,Low Value
13164,372.20000000000005,2,Low Value
13165,1451.1599999999999,3,Low Value
13166,875.93,2,Low Value
13167,1125.1499999999994,5,Low Value
13168,1840.7300000000002,5,Low Value
13169,840.0800000000002,3,Low Value
13170,108.80999999999997,1,Low Value
13171,468.41,3,Low Value
13172,69.6,1,Low Value
13173,2399.8200000000033,11,Low Value
